X,Y,RCLC1,RCLC2,RCLC3,RCLC4
60.43,68.93,16.98,17.15,17.35,17.55
62.86,67.5,17.31,17.48,17.66,17.85
62.86,68.07,17.82,17.96,18.11,18.25
63.57,68.64,17.21,17.37,17.55,17.71
63.57,68.71,17.05,17.24,17.42,17.59
64.5,69.32,16.5,16.7,16.92,17.14
64.79,69.75,16.37,16.58,16.82,17.06
67.06,70.63,16.58,16.79,17,17.21
67.5,71.25,16.7,16.91,17.12,17.32
67.39,67.92,16.63,16.85,17.06,17.27
67.11,67.78,16.43,16.66,16.88,17.1
66.67,65,16.15,16.38,16.64,16.88
67.36,65.75,15.96,16.19,16.46,16.72
67.75,65.56,16.02,16.25,16.51,16.77
68.17,65.58,15.66,15.88,16.17,16.46
65.53,65.69,16.25,16.45,16.75,17.05
64.53,65.69,16.16,16.32,16.61,16.9
63.89,65.42,16.15,16.24,16.52,16.81
63.78,64.86,15.37,15.75,16.11,16.42
64.31,64.72,15.31,15.68,16.06,16.39
64.42,64.72,15.45,15.79,16.15,16.46
66.11,64.72,15.35,15.69,16.06,16.38
68.06,65,15.44,15.77,16.15,16.47
70.83,65.42,15.34,15.68,16.06,16.39
72.11,65.83,15.27,15.61,15.99,16.33
72.78,67.64,15.32,15.65,16.03,16.37
73.33,67.92,15.33,15.67,16.04,16.37
73.83,69.17,14.91,15.3,15.71,16.08
74.56,69.72,14.33,14.72,15.15,15.56
71.11,69.44,14.26,14.63,15.05,15.45
72.22,69.83,14.18,14.56,14.98,15.37
73.33,68.89,14.2,14.57,14.98,15.37
74,69.33,14.06,14.43,14.83,15.22
74.17,67.83,13.28,13.65,14.05,14.46
76.17,69,13.21,13.5,13.92,14.35
78.89,70.42,14.34,14.61,15,15.37
79.06,70.28,14.31,14.6,14.96,15.33
79.72,70.72,14.32,14.61,14.96,15.31
78.61,70.17,16.51,16.77,16.81,17.11
79.83,70.17,15.92,16.23,16.51,16.73
81.33,71.81,16.48,16.76,17,17.19
82.61,71.78,16.83,17.08,17.3,17.47
81.25,72.06,16.76,17.01,17.23,17.42
81.33,71.47,16.21,16.47,16.71,16.92
80.44,71.67,15.61,15.94,16.22,16.46
78,70.97,15.54,15.86,16.15,16.4
78,70.44,15.74,16.06,16.35,16.59
77.83,70.28,15.99,16.29,16.56,16.78
75.28,70.56,15.45,15.79,16.09,16.34
75,70.28,15.22,15.57,15.89,16.16
72.22,69.17,15.55,15.9,16.21,16.45
71.39,69.33,15.56,15.9,16.21,16.45
68.56,68.89,15.12,15.5,15.85,16.12
66.88,68.75,15.46,15.82,16.14,16.4
66.83,68.06,15.9,16.24,16.53,16.75
67.39,67.89,15.46,15.91,16.22,16.46
68.28,67.5,15.41,15.91,16.26,16.53
69.14,67.22,15.45,15.98,16.33,16.6
71.22,67.22,15.54,15.91,16.18,16.39
71.89,67.78,15.19,15.7,16.03,16.29
73.94,67.78,15.09,15.59,15.94,16.2
75.78,65.56,15.32,15.81,16.17,16.44
79,66,15.74,16.21,16.55,16.79
79.5,66.25,15.32,15.86,16.25,16.52
79.83,66.56,15.39,16,16.43,16.72
80.44,66.67,16.13,16.72,17.05,17.27
82.39,66.28,15.47,16.23,16.69,16.99
82.69,65.5,15.37,16.09,16.56,16.87
81.91,67.19,15.24,15.94,16.39,16.74
82.19,68.13,15.13,15.87,16.31,16.65
82.61,67.78,15.17,15.87,16.29,16.6
83.67,67.78,15.24,15.93,16.32,16.6
84.86,67.78,14.95,15.68,16.11,16.42
85.63,67.81,15.08,15.81,16.21,16.52
85.5,67.86,14.47,15.32,15.82,16.18
85.67,67.5,14.07,15.11,15.68,16.06
85.92,67.5,12.96,15.01,15.66,16.06
85.25,67.22,14.18,14.99,15.51,15.91
84.79,67.14,14.63,15.26,15.73,16.1
84.75,66.75,14.78,15.34,15.78,16.13
81.44,66.31,14.82,15.32,15.76,16.11
79.81,65.84,14.99,15.43,15.83,16.16
77.61,65.19,14.85,15.33,15.74,16.07
76.31,65,15.2,15.68,16.08,16.41
75.25,65,14.96,15.56,15.96,16.31
74.72,64.86,14.84,15.46,15.88,16.24
71.78,64.86,14.81,15.43,15.88,16.26
71.83,64.53,15.12,15.69,16.11,16.46
71.31,64.16,15.07,15.71,16.23,16.61
69.72,63.19,14.55,15.28,15.91,16.34
69.25,63.19,13.85,14.65,15.36,15.85
68.97,63.19,13.48,14.39,15.12,15.69
68.47,68.33,12.75,13.92,14.7,15.28
68.63,68.44,12.59,13.89,14.71,15.32
68.69,68,11.56,13.03,14,14.69
68.08,67.78,11.98,13.23,14.15,14.82
67.67,67.78,12.6,13.69,14.47,15.08
67.5,68.06,11.77,13.13,14.02,14.7
68.06,68.11,11.84,13.17,14.04,14.73
71.56,67.78,13.43,13.65,14.38,14.99
73.19,68.06,14.52,15.06,15.5,15.88
73.25,68.06,14.6,15.03,15.41,15.77
75.39,71.67,14.03,14.64,15.09,15.5
75.94,71.88,14.13,14.68,15.1,15.48
77.5,72.22,14.07,14.61,15.02,15.41
79.28,72.5,14.18,14.67,15.07,15.43
80.94,72.5,14.37,14.79,15.18,15.53
80.56,72.5,14.5,14.91,15.27,15.59
81.61,72.5,13.92,14.4,14.8,15.15
81.5,72.22,13.62,14.14,14.56,14.93
82.13,72.19,13.85,14.29,14.68,15.03
82.19,72.66,13.88,14.28,14.65,14.98
82.5,72.78,13.87,14.2,14.54,14.85
81.97,72.61,13.91,14.2,14.53,14.84
81.17,72.61,14.55,14.77,15,15.25
81.11,72.33,14.87,15.02,15.23,15.44
81.67,72.33,14.52,14.73,14.95,15.16
80.56,71.5,13.98,14.3,14.58,14.84
80.86,70,13.34,13.63,14,14.35
80.86,70.28,13.79,14.04,14.3,14.62
81.94,70.56,14.16,14.43,14.73,15.01
80.94,70.28,13.88,14.17,14.48,14.78
80.42,70.28,13.87,14.19,14.52,14.84
80,70,14.22,14.47,14.76,15.06
80.28,69.72,14.27,14.52,14.81,15.1
80,70,14.09,14.37,14.67,14.97
80,70,14.21,14.51,14.8,15.08
80,70.83,14.21,14.5,14.79,15.06
80,70.75,13.7,14.06,14.38,14.68
80,70.63,13.75,14.1,14.42,14.72
80.28,70.28,13.68,14.06,14.39,14.7
79.78,70.56,13.76,14.09,14.42,14.72
78.83,69.89,13.8,14.14,14.46,14.75
78.25,69.89,13.05,13.41,13.77,14.08
76.83,68.31,12.76,13.15,13.53,13.85
75.69,67.89,12.71,13.12,13.51,13.83
74.69,67.78,13.21,13.55,13.9,14.2
75,67.81,13.35,13.64,13.97,14.26
74.19,66.94,13.2,13.47,13.79,14.08
73.06,65.69,12.92,13.2,13.54,13.85
70.56,65.28,13.16,13.36,13.67,13.97
67.78,64.72,13.54,13.8,14.07,14.35
63.17,63.14,13.37,13.66,13.95,14.21
61.75,63.06,13.64,13.92,14.21,14.47
60.22,63.33,13.77,14,14.27,14.52
59.72,62.78,13.58,13.8,14.08,14.33
59.5,62.22,13.23,13.46,13.76,14.03
57.22,61.39,13.5,13.72,14.01,14.28
53.75,60.28,13.73,13.97,14.25,14.52
50.83,59.64,13.67,13.9,14.18,14.45
50,58.44,14.67,14.85,15.08,15.31
50,57.36,14.59,14.78,14.99,15.2
48.72,54.58,14.29,14.53,14.75,14.98
45.97,50.42,14.12,14.36,14.61,14.85
45.19,46.39,14.67,14.87,15.08,15.29
44.78,46.94,14.34,14.56,14.78,15
44.39,46.39,14.42,14.61,14.81,15.03
44.78,46,14.57,14.7,14.86,15.04
45.5,46.59,14.53,14.67,14.83,15.01
46.75,47.5,14.86,14.96,15.09,15.24
47.39,47.78,15.49,15.62,15.74,15.87
50.83,47.78,15.49,15.67,15.78,15.89
54.44,46.67,15.67,15.84,15.94,16.05
55,46.25,15.81,15.95,16.05,16.16
55,46.53,15.98,16.13,16.23,16.34
55,46.09,15.75,15.89,16.01,16.12
55.39,45.67,15.64,15.76,15.89,16
57.03,46.22,15.98,16.03,16.14,16.24
57,47.22,16.14,16.16,16.25,16.34
57.08,48.75,15.43,15.5,15.62,15.74
57.14,49.58,15.64,15.7,15.81,15.93
56.28,51.08,15.39,15.5,15.63,15.77
56.14,54.44,15.5,15.61,15.74,15.87
56.42,55.69,15.06,15.23,15.38,15.53
56.14,56.25,14.42,14.61,14.8,14.98
55.31,55.97,14.58,14.74,14.93,15.11
55.14,55.69,14.44,14.62,14.81,14.99
54.72,55.69,14.23,14.42,14.62,14.8
54.38,55.16,14.05,14.23,14.44,14.63
53.39,55.69,14.05,14.24,14.44,14.64
53.94,54.31,14.15,14.33,14.54,14.73
53.25,54.58,13.35,13.53,13.75,13.96
54.06,55.28,13.43,13.52,13.77,13.99
55,55,14.08,14.26,14.45,14.63
56.84,55.5,13.97,14.16,14.34,14.51
