,date,open,close,high,low,volume,code
0,2008-01-28,23.01,25.35,25.8,23.01,149471.52,002207
1,2008-01-29,24.1,25.0,27.3,23.28,102036.41,002207
2,2008-01-30,24.3,22.5,25.0,22.5,70740.87,002207
3,2008-01-31,21.78,20.9,22.0,20.71,42104.18,002207
4,2008-02-01,20.2,19.2,20.77,18.81,37641.64,002207
5,2008-02-04,19.9,20.8,20.99,19.4,31244.91,002207
6,2008-02-05,20.39,20.45,20.87,19.7,23412.86,002207
7,2008-02-13,20.02,21.96,22.07,19.7,32364.58,002207
8,2008-02-14,21.58,22.03,22.8,21.32,33508.79,002207
9,2008-02-15,21.7,22.09,22.5,21.32,16825.32,002207
10,2008-02-18,22.33,22.55,23.19,22.0,23995.9,002207
11,2008-02-19,22.5,22.65,22.8,22.15,16057.95,002207
12,2008-02-20,22.95,22.02,23.61,21.85,21122.65,002207
13,2008-02-21,21.99,23.16,23.47,21.58,20916.25,002207
14,2008-02-22,23.0,21.42,23.01,20.84,18709.1,002207
15,2008-02-25,21.22,20.11,21.87,20.1,12755.44,002207
16,2008-02-26,20.9,20.9,21.38,20.34,14975.57,002207
17,2008-02-27,20.88,21.63,21.8,20.7,11771.68,002207
18,2008-02-28,21.9,21.01,21.9,20.8,11068.34,002207
19,2008-02-29,21.0,21.41,21.57,20.82,8476.56,002207
20,2008-03-03,21.29,21.7,22.1,20.65,13032.74,002207
21,2008-03-04,21.85,20.79,21.85,20.73,13549.39,002207
22,2008-03-05,20.51,20.55,20.98,20.0,10703.41,002207
23,2008-03-06,20.6,20.75,21.0,20.2,8721.14,002207
24,2008-03-07,20.62,20.2,20.62,20.02,6946.04,002207
25,2008-03-10,20.2,19.35,20.2,19.3,8490.99,002207
26,2008-03-11,19.3,19.55,19.73,19.02,3637.71,002207
27,2008-03-12,19.98,19.15,20.18,19.1,6616.78,002207
28,2008-03-13,19.15,18.69,19.55,18.16,9121.59,002207
29,2008-03-14,18.7,19.09,19.3,18.3,6493.17,002207
30,2008-03-17,18.99,17.65,18.99,17.6,5542.97,002207
31,2008-03-18,17.28,16.3,18.2,15.91,7837.09,002207
32,2008-03-19,16.6,16.85,17.39,16.32,6560.05,002207
33,2008-03-20,16.63,17.19,17.49,15.28,9957.69,002207
34,2008-03-21,16.71,16.88,17.45,16.35,6891.26,002207
35,2008-03-24,16.98,16.01,17.15,15.92,7504.76,002207
36,2008-03-25,15.81,16.28,16.28,15.5,5810.73,002207
37,2008-03-26,16.31,16.65,16.99,16.2,6502.88,002207
38,2008-03-27,16.67,15.52,16.67,15.51,5292.36,002207
39,2008-03-28,15.52,17.07,17.07,15.1,14083.17,002207
40,2008-03-31,17.05,17.99,18.5,16.58,34182.97,002207
41,2008-04-01,17.5,16.66,17.99,16.19,17928.07,002207
42,2008-04-02,16.55,14.99,16.88,14.99,13247.3,002207
43,2008-04-03,14.51,15.9,15.92,13.53,16878.17,002207
44,2008-04-07,15.0,16.49,16.85,14.88,12269.91,002207
45,2008-04-08,16.77,16.21,16.77,15.85,9974.41,002207
46,2008-04-09,16.05,14.68,16.18,14.6,7949.37,002207
47,2008-04-10,14.3,14.9,14.97,14.25,5470.49,002207
48,2008-04-11,14.9,15.3,15.65,14.88,6299.87,002207
49,2008-04-14,15.19,13.93,15.19,13.88,6121.82,002207
50,2008-04-15,14.02,14.52,14.56,13.8,3787.06,002207
51,2008-04-16,14.6,14.58,15.23,14.28,6123.8,002207
52,2008-04-17,14.38,14.38,15.0,14.03,4674.64,002207
53,2008-04-18,14.4,13.05,14.4,13.0,5284.47,002207
54,2008-04-21,14.0,12.57,14.08,12.5,6954.94,002207
55,2008-04-22,12.5,12.08,12.5,11.5,10137.65,002207
56,2008-04-23,12.0,12.39,12.59,11.4,8898.21,002207
57,2008-04-24,13.4,13.63,13.63,13.0,17209.62,002207
58,2008-04-25,13.5,13.28,13.9,12.99,16029.84,002207
59,2008-04-29,12.5,12.8,13.1,12.4,39129.83,002207
60,2008-04-30,12.7,13.56,13.78,12.63,30909.85,002207
61,2008-05-05,13.6,14.0,14.1,13.02,30749.6,002207
62,2008-05-06,13.75,14.05,14.6,13.41,31396.55,002207
63,2008-05-07,13.99,14.02,14.81,13.8,33392.33,002207
64,2008-05-08,14.02,15.42,15.42,13.91,37932.71,002207
65,2008-05-09,16.2,16.3,16.87,15.4,66161.04,002207
66,2008-05-12,15.81,16.23,16.63,15.5,29860.11,002207
67,2008-05-13,15.71,15.52,16.18,15.01,24784.33,002207
68,2008-05-14,15.39,15.79,16.36,15.18,21554.55,002207
69,2008-05-15,15.88,15.57,16.05,15.18,21594.37,002207
70,2008-05-16,15.4,14.79,15.7,14.61,14649.62,002207
71,2008-05-19,14.8,15.24,15.49,14.7,10265.71,002207
72,2008-05-20,15.25,14.4,15.87,14.21,16368.52,002207
73,2008-05-21,14.2,15.84,15.84,13.8,27807.74,002207
74,2008-05-22,15.78,16.26,16.9,15.41,53495.31,002207
75,2008-05-23,16.66,16.47,16.96,16.03,25874.65,002207
76,2008-05-26,16.3,15.0,16.42,15.0,17066.21,002207
77,2008-05-27,14.98,15.6,15.74,14.72,8505.11,002207
78,2008-05-28,15.51,16.08,16.24,15.2,13354.32,002207
79,2008-05-29,15.98,16.2,16.9,15.82,24881.71,002207
80,2008-05-30,16.0,16.99,17.5,16.0,34617.91,002207
81,2008-06-02,16.88,16.49,17.27,16.45,20558.6,002207
82,2008-06-03,16.46,17.34,17.34,16.2,23570.56,002207
83,2008-06-04,17.3,18.0,18.39,17.0,43717.33,002207
84,2008-06-05,17.77,17.51,18.33,17.38,25549.71,002207
85,2008-06-06,17.61,16.7,17.88,16.51,19527.07,002207
86,2008-06-11,15.03,15.03,15.49,15.03,20375.06,002207
87,2008-06-12,14.61,13.6,14.98,13.53,28404.73,002207
88,2008-06-13,13.6,12.78,13.8,12.71,14884.85,002207
89,2008-06-16,13.0,13.41,13.59,12.76,16532.16,002207
90,2008-06-17,13.35,13.48,13.7,12.71,15399.12,002207
91,2008-06-18,13.49,14.5,14.59,13.2,21156.6,002207
92,2008-06-19,14.19,13.05,14.65,13.05,17334.96,002207
93,2008-06-20,14.11,13.61,14.18,13.02,18787.95,002207
94,2008-06-23,13.42,12.3,13.5,12.25,14706.52,002207
95,2008-06-24,11.85,12.33,12.5,11.5,12002.98,002207
96,2008-06-25,12.32,13.0,13.16,12.11,12682.08,002207
97,2008-06-26,12.8,13.3,13.38,12.7,12098.3,002207
98,2008-06-27,12.95,12.2,13.0,12.15,12321.58,002207
99,2008-06-30,11.99,12.18,12.53,11.71,6252.86,002207
100,2008-07-01,12.08,12.19,12.54,11.9,5238.97,002207
101,2008-07-02,12.33,12.43,12.8,12.11,7134.24,002207
102,2008-07-03,12.43,12.92,13.15,12.03,9961.84,002207
103,2008-07-04,12.8,12.76,13.13,12.55,6912.13,002207
104,2008-07-07,12.8,13.4,13.56,12.7,9027.47,002207
105,2008-07-08,13.4,13.46,13.85,13.2,10764.74,002207
106,2008-07-09,13.7,13.7,13.8,13.31,11804.06,002207
107,2008-07-10,13.55,13.11,13.69,13.11,11700.23,002207
108,2008-07-11,13.02,13.18,13.2,12.9,6288.04,002207
109,2008-07-14,13.18,13.24,13.34,13.09,5440.69,002207
110,2008-07-15,13.25,12.65,13.61,12.65,10500.12,002207
111,2008-07-16,12.66,11.97,12.8,11.62,9648.81,002207
112,2008-07-17,12.15,11.95,12.65,11.85,4966.56,002207
113,2008-07-18,12.35,12.55,12.87,11.88,7008.43,002207
114,2008-07-21,12.48,12.92,13.06,12.02,11361.0,002207
115,2008-07-22,12.88,12.9,12.94,12.68,7841.83,002207
116,2008-07-23,12.99,12.72,13.17,12.64,5088.71,002207
117,2008-07-24,12.93,12.99,12.99,12.67,6971.9,002207
118,2008-07-25,12.91,12.74,12.93,12.68,5144.53,002207
119,2008-07-28,12.63,13.06,13.48,12.63,8797.5,002207
120,2008-07-29,12.91,12.65,12.96,12.56,4952.5,002207
121,2008-07-30,12.89,12.83,12.99,12.69,3892.24,002207
122,2008-07-31,12.85,12.2,12.85,12.2,4659.02,002207
123,2008-08-01,12.2,12.38,12.44,12.02,4069.3,002207
124,2008-08-04,12.18,12.0,12.32,11.96,3799.0,002207
125,2008-08-05,11.94,11.65,12.14,11.57,3856.06,002207
126,2008-08-06,11.69,11.47,11.89,11.2,5037.57,002207
127,2008-08-07,11.44,11.18,11.85,11.0,5206.68,002207
128,2008-08-08,11.22,10.43,11.4,10.38,5229.21,002207
129,2008-08-11,10.5,9.52,10.5,9.45,6442.3,002207
130,2008-08-12,9.51,9.25,9.68,9.12,3969.86,002207
131,2008-08-13,9.25,9.4,9.44,8.9,4221.55,002207
132,2008-08-14,9.4,9.25,9.55,9.21,2369.46,002207
133,2008-08-15,9.25,9.3,9.5,9.04,2569.33,002207
134,2008-08-18,9.19,8.37,9.22,8.37,4415.0,002207
135,2008-08-19,8.29,8.36,8.5,8.01,2653.92,002207
136,2008-08-20,8.39,9.0,9.11,8.16,7668.68,002207
137,2008-08-21,8.83,8.45,9.1,8.45,4095.9,002207
138,2008-08-22,8.48,8.59,8.6,8.21,2351.34,002207
139,2008-08-25,8.6,9.45,9.45,8.5,15410.99,002207
140,2008-08-26,9.36,8.84,9.45,8.53,13742.24,002207
141,2008-08-27,8.67,8.6,9.0,8.25,5506.47,002207
142,2008-08-28,8.69,8.75,8.8,8.53,3549.03,002207
143,2008-08-29,8.78,8.91,9.09,8.6,5229.7,002207
144,2008-09-01,8.75,8.4,8.89,8.34,2823.0,002207
145,2008-09-02,8.24,8.41,8.54,8.24,1931.03,002207
146,2008-09-03,8.41,8.15,8.49,8.1,3573.24,002207
147,2008-09-05,8.18,7.54,8.18,7.5,6713.37,002207
148,2008-09-08,7.41,7.11,7.6,7.1,3853.87,002207
149,2008-09-09,7.12,7.19,7.29,7.1,2746.8,002207
150,2008-09-10,7.12,7.2,7.43,7.06,3080.1,002207
