X,Y,RCLC1,RCLC2,RCLC3,RCLC4
35.65,44.04,69.45,71.15,72.4,73.2
35.62,44.81,71.58,73.18,74.27,75.06
36.65,44.54,71.42,73.3,74.69,75.62
36.92,44.85,71.97,73.93,75.37,76.33
36.5,44.73,71.94,73.87,75.21,76.13
37,45.21,70.93,72.78,74.08,74.91
39.19,44.69,70.6,72.61,74.08,75.04
39.38,44.23,69.45,71.35,72.77,73.73
39.46,44.52,70.16,72.01,73.36,74.24
39.46,44.62,70.52,72.48,73.87,74.75
39.38,44.81,67.51,69.6,71.06,72
39.54,45.19,66.75,68.81,70.24,71.22
40.69,47.62,69.19,71.09,72.3,73.17
41.31,50.19,72.42,73.83,74.79,75.56
46.81,53.46,72.54,72.91,73.77,74.52
48.5,57.69,73.89,74.82,75.48,76.13
49.35,62.31,74.37,75.08,75.75,76.38
49.13,70.42,72.05,72.78,73.51,74.15
47.77,70,71.43,72.19,72.98,73.68
45.38,68.58,72.49,73.14,73.87,74.53
44.73,64.04,72.74,73.46,74.16,74.78
43.35,56.42,68.05,68.72,69.45,70.13
39.12,53.65,68.05,68.68,69.33,69.96
38.69,51.92,67.96,68.55,69.15,69.73
38.46,49.62,68.02,68.55,69.08,69.63
38.23,51.88,71.1,71.59,72,72.45
38.42,53.56,71.31,71.82,72.21,72.62
38.69,57.12,71.94,72.27,72.61,72.97
39.08,57.08,69.29,69.72,70.2,70.68
40.19,60.27,68.86,69.37,69.86,70.37
40.19,57.81,70.93,71.3,71.69,72.14
40,54.12,72.51,72.87,73.25,73.65
40,54.27,72.47,72.94,73.43,73.93
40.38,55,72.04,72.49,73.04,73.61
40.77,56.69,69.71,69.93,70.41,70.94
41.92,58.65,71.55,71.76,72.22,72.69
42.77,61.08,68.97,69.51,70.06,70.6
43.27,62.5,65.89,66.38,66.93,67.49
43.88,64.42,66.02,66.42,66.9,67.4
45,65,66.84,67.17,67.64,68.13
45.77,64.92,66.71,67.08,67.53,68.01
46.54,63.54,70.61,70.94,71.31,71.71
45.96,61.17,70.82,71.2,71.63,72.07
45.67,60.38,69.95,70.33,70.78,71.23
45.27,57.88,70.41,70.61,70.98,71.37
45.19,52.62,70.88,71.14,71.52,71.92
44.62,53.54,69.57,69.88,70.34,70.8
44.81,53.54,71.69,72.14,72.72,73.28
44.81,53.65,71.77,72.25,72.84,73.43
44.17,55.79,73.27,73.74,74.28,74.84
44.46,57.31,74.15,74.71,75.29,75.89
44.77,58.27,75.18,75.6,76.12,76.68
46.23,58.15,77.58,78.08,78.59,79.13
46.42,58.38,78.53,79.02,79.5,80.04
46.92,58.08,79.61,79.96,80.43,80.96
46.96,59.23,79.09,79.12,79.68,80.26
49.23,62.12,81.37,81.96,82.58,83.06
50.58,62.31,81.19,81.84,82.48,82.99
50.46,62.31,80.5,81.19,81.87,82.43
50.19,62.62,78.68,79.37,80.04,80.58
50.88,64.04,79.55,80.15,80.75,81.26
52.27,75.19,77.46,78.06,78.65,79.14
58.17,77.88,79.87,80.4,80.95,81.43
58.27,76.54,77,77.64,78.27,78.79
56.35,75.58,78.13,78.82,79.51,80.12
54.27,67.85,79.6,80.26,80.92,81.54
53.92,64.62,80.4,81.07,81.74,82.36
51.54,64.12,79.62,80.28,80.93,81.55
50.33,64.04,77.43,78.09,78.75,79.39
49.79,64.81,79.43,80.07,80.72,81.36
51.73,67.5,79.05,79.64,80.27,80.89
54.62,71.94,79.28,79.92,80.59,81.25
56.92,78.85,76.94,77.65,78.39,79.13
59.04,81.54,76.35,77.03,77.75,78.48
59.54,82.12,78.9,79.53,80.22,80.93
59.31,76.73,79.14,79.72,80.44,81.16
59.5,78.96,79.58,80.1,80.82,81.57
60.19,82.31,77.46,78.05,78.84,79.63
64.12,83.08,76.72,77.47,78.3,79.11
64.42,83.56,77.56,78.5,79.33,80.07
63.5,87.21,76.02,77.19,78.18,78.96
61.33,85.29,77.96,79.19,80.23,81.03
60.75,83.25,76.05,77.36,78.5,79.38
60.77,83,77.28,78.66,79.84,80.74
60.19,82.21,78.37,79.77,80.94,81.84
64.73,82.52,76.6,78.17,79.45,80.44
66,82.52,76.46,78.21,79.65,80.76
65,82.15,75.47,77.25,78.72,79.84
65,81.54,73.93,75.91,77.55,78.75
65,78.35,72.62,74.62,76.14,77.24
62,72.83,70.67,72.55,73.92,74.9
60.92,72.9,70.54,72.32,73.68,74.64
60.5,69.23,69.87,71.95,73.54,74.63
59.27,68.77,69.51,71.86,73.46,74.56
59.04,68.85,70.69,72.69,73.93,74.84
59.5,68.46,72.66,74.38,75.32,76.09
60.77,69.35,72.65,74.08,74.89,75.56
61.15,72.62,73.36,74.42,75.23,75.99
60.19,73.08,72.47,73.72,74.55,75.32
60.5,72.6,74.4,75.06,75.74,76.36
61.38,76.23,76.67,77.25,77.86,78.43
61.09,74.06,78.05,78.66,79.32,79.86
84.79,129.12,81.51,82.12,82.65,83.12
87.17,146.44,81.77,82.41,82.99,83.52
90.69,157.15,83.18,83.75,84.31,84.86
92.88,157.23,82.66,83.19,83.75,84.29
100.17,152.15,82.75,83.3,83.87,84.47
102.1,155.31,82.52,83.01,83.55,84.14
105.23,160.77,80.79,81.17,81.7,82.28
115.46,167.35,79.65,80.04,80.6,81.21
134.62,173.85,79.39,79.88,80.47,81.11
135.38,175.58,78,78.37,78.97,79.64
134.62,173.08,79.02,79.32,79.81,80.4
133.85,163.85,77.62,77.74,78.23,78.85
128.65,144.81,76.08,76.53,77.13,77.74
118.96,124.04,74.54,74.92,75.46,76.05
112.69,120.19,75.26,75.69,76.27,76.84
101.35,104.23,74.71,75.15,75.73,76.29
94.92,104.62,73.67,74.15,74.75,75.32
94.62,104.04,73.64,74.07,74.64,75.18
91.35,95.58,72.89,73.35,73.95,74.53
86.73,90.38,74.43,74.91,75.52,76.11
83.08,89.62,77.23,77.72,78.34,78.91
80.96,91.35,76.98,77.43,78.05,78.64
78.85,91.08,73.14,73.54,74.14,74.74
76.92,86.56,71.19,71.52,71.95,72.45
74.04,85.38,71.89,72.29,72.76,73.26
73.08,84.81,73.75,74.2,74.71,75.24
72.69,84.15,74.52,74.89,75.34,75.83
71.35,85.38,75.28,75.72,76.23,76.73
70.77,88.38,74.13,74.5,75.03,75.57
70.37,92.31,77.01,77.42,77.92,78.42
