,date,open,close,high,low,volume,code
0,2013-01-04,13.85,14.04,14.11,13.6,46794.0,002221
1,2013-01-07,14.0,13.89,14.11,13.75,36621.0,002221
2,2013-01-08,13.97,14.28,14.49,13.87,50909.0,002221
3,2013-01-09,14.49,15.63,15.71,14.49,148652.0,002221
4,2013-01-10,15.25,15.7,15.85,15.08,114029.0,002221
5,2013-01-11,15.65,15.11,16.5,15.07,127575.0,002221
6,2013-01-14,15.18,16.22,16.49,15.16,101988.0,002221
7,2013-01-15,16.49,16.5,16.73,16.02,75250.0,002221
8,2013-01-16,16.3,16.23,16.7,15.81,63465.0,002221
9,2013-01-17,16.58,16.33,16.78,16.08,70528.0,002221
10,2013-01-18,16.3,16.5,16.76,15.76,80619.0,002221
11,2013-01-21,16.48,17.69,17.95,16.42,72030.0,002221
12,2013-01-22,17.65,17.42,18.6,17.15,68042.0,002221
13,2013-01-23,17.3,18.01,18.1,17.3,46560.0,002221
14,2013-01-24,18.04,18.64,19.11,18.01,89370.0,002221
15,2013-01-25,18.5,18.25,18.96,18.12,55342.0,002221
16,2013-01-28,18.01,18.75,18.83,17.6,57670.0,002221
17,2013-01-29,18.75,18.92,19.26,18.51,42779.0,002221
18,2013-01-30,18.92,18.42,18.99,18.21,38767.0,002221
19,2013-01-31,18.44,17.5,18.5,17.35,69403.0,002221
20,2013-02-01,17.45,17.65,17.93,17.1,37743.0,002221
21,2013-02-04,17.72,17.94,18.68,17.34,61453.0,002221
22,2013-02-05,17.83,17.86,18.1,17.51,26181.0,002221
23,2013-02-06,17.9,17.85,18.5,17.84,22247.0,002221
24,2013-02-07,18.11,19.48,19.6,17.9,72352.0,002221
25,2013-02-08,19.55,20.09,20.9,19.12,61334.0,002221
26,2013-02-18,20.12,20.28,20.78,20.11,42879.0,002221
27,2013-02-19,20.28,19.57,20.73,19.4,51045.0,002221
28,2013-02-20,19.83,20.1,20.15,18.81,56855.0,002221
29,2013-02-21,19.94,19.7,19.99,19.25,34748.0,002221
30,2013-02-22,19.6,19.4,19.75,19.29,26261.0,002221
31,2013-02-25,19.43,19.91,20.0,19.43,28422.0,002221
32,2013-02-26,19.83,20.25,20.89,19.83,42653.0,002221
33,2013-02-27,20.49,18.23,20.5,18.23,106083.0,002221
34,2013-02-28,18.2,18.42,18.71,17.03,87058.0,002221
35,2013-03-01,18.01,18.29,18.43,17.77,54805.0,002221
36,2013-03-04,18.05,17.5,18.14,17.29,74749.0,002221
37,2013-03-05,17.5,17.78,18.03,17.5,32069.0,002221
38,2013-03-06,17.86,18.15,18.43,17.84,40048.0,002221
39,2013-03-07,18.1,18.71,19.29,18.1,66643.0,002221
40,2013-03-08,18.69,18.4,19.3,18.18,44808.0,002221
41,2013-03-11,18.9,18.13,18.92,18.03,37546.0,002221
42,2013-03-12,18.13,17.61,18.18,17.35,37593.0,002221
43,2013-03-13,17.6,17.0,17.6,16.78,32432.0,002221
44,2013-03-14,16.95,17.22,17.5,16.93,42690.0,002221
45,2013-03-15,17.26,17.48,17.89,17.2,32514.0,002221
46,2013-03-18,17.35,17.6,18.25,17.2,33737.0,002221
47,2013-03-19,17.62,17.83,18.04,16.8,48295.0,002221
48,2013-03-20,17.77,18.42,18.42,17.61,44803.0,002221
